site,treatment,date,year,month,depth_m,variable,value
n2,fert,1990-07-19T00:00:00Z,1990,7,0.1,cond_u_s,119
n2,fert,1990-07-19T00:00:00Z,1990,7,0.1,do_mg_l,9.02
n2,fert,1990-07-19T00:00:00Z,1990,7,0.1,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,0.1,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,0.2,temp_c,14.76
n2,fert,1990-07-19T00:00:00Z,1990,7,0.2,cond_u_s,119
n2,fert,1990-07-19T00:00:00Z,1990,7,0.2,do_mg_l,9.04
n2,fert,1990-07-19T00:00:00Z,1990,7,0.2,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,0.2,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,0.5,temp_c,14.7
n2,fert,1990-07-19T00:00:00Z,1990,7,0.5,cond_u_s,119
n2,fert,1990-07-19T00:00:00Z,1990,7,0.5,do_mg_l,9.1
n2,fert,1990-07-19T00:00:00Z,1990,7,0.5,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,0.5,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,1,temp_c,14.6
n2,fert,1990-07-19T00:00:00Z,1990,7,1,cond_u_s,119
n2,fert,1990-07-19T00:00:00Z,1990,7,1,do_mg_l,9.2
n2,fert,1990-07-19T00:00:00Z,1990,7,1,chl_ug_l,11.1
n2,fert,1990-07-19T00:00:00Z,1990,7,1,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,2,temp_c,14.6
n2,fert,1990-07-19T00:00:00Z,1990,7,2,cond_u_s,121
n2,fert,1990-07-19T00:00:00Z,1990,7,2,do_mg_l,9
n2,fert,1990-07-19T00:00:00Z,1990,7,2,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,2,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,3,temp_c,14
n2,fert,1990-07-19T00:00:00Z,1990,7,3,cond_u_s,120
n2,fert,1990-07-19T00:00:00Z,1990,7,3,do_mg_l,9
n2,fert,1990-07-19T00:00:00Z,1990,7,3,chl_ug_l,10.25
n2,fert,1990-07-19T00:00:00Z,1990,7,3,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,4,temp_c,8.5
n2,fert,1990-07-19T00:00:00Z,1990,7,4,cond_u_s,112
n2,fert,1990-07-19T00:00:00Z,1990,7,4,do_mg_l,8.8
n2,fert,1990-07-19T00:00:00Z,1990,7,4,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,4,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,5,temp_c,6
n2,fert,1990-07-19T00:00:00Z,1990,7,5,cond_u_s,108
n2,fert,1990-07-19T00:00:00Z,1990,7,5,do_mg_l,6.2
n2,fert,1990-07-19T00:00:00Z,1990,7,5,chl_ug_l,5.59
n2,fert,1990-07-19T00:00:00Z,1990,7,5,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,6,temp_c,4.8
n2,fert,1990-07-19T00:00:00Z,1990,7,6,cond_u_s,122
