site,date,year,month,variable,value
toolik,1993-07-12T00:00:00Z,1993,7,secchi_m,4.9
toolik,1993-07-12T00:00:00Z,1993,7,temp_c,15.363333333333333
toolik,1993-07-19T00:00:00Z,1993,7,chl_ug_l,1.0870769999999998
toolik,1993-07-19T00:00:00Z,1993,7,cond_u_s,47
toolik,1993-07-19T00:00:00Z,1993,7,do_mg_l,8.416666666666666
toolik,1993-07-19T00:00:00Z,1993,7,secchi_m,3.5
toolik,1993-07-19T00:00:00Z,1993,7,temp_c,18.19
toolik,1993-07-26T00:00:00Z,1993,7,chl_ug_l,1.2458725
toolik,1993-07-26T00:00:00Z,1993,7,cond_u_s,47.733333333333334
toolik,1993-07-26T00:00:00Z,1993,7,do_mg_l,6.983333333333333
toolik,1993-07-26T00:00:00Z,1993,7,secchi_m,5
toolik,1993-07-26T00:00:00Z,1993,7,temp_c,15.596666666666666
toolik,1993-08-02T00:00:00Z,1993,8,chl_ug_l,1.7269585
toolik,1993-08-02T00:00:00Z,1993,8,cond_u_s,46.4
toolik,1993-08-02T00:00:00Z,1993,8,do_mg_l,9.426666666666666
toolik,1993-08-02T00:00:00Z,1993,8,secchi_m,5
toolik,1993-08-02T00:00:00Z,1993,8,temp_c,13.396666666666667
toolik,1993-08-09T00:00:00Z,1993,8,chl_ug_l,1.5258794999999998
toolik,1993-08-09T00:00:00Z,1993,8,cond_u_s,47.16666666666667
toolik,1993-08-09T00:00:00Z,1993,8,do_mg_l,9.863333333333333
toolik,1993-08-09T00:00:00Z,1993,8,secchi_m,5.2
toolik,1993-08-09T00:00:00Z,1993,8,temp_c,11.143333333333334
toolik,1994-06-11T00:00:00Z,1994,6,chl_ug_l,NA
toolik,1994-06-11T00:00:00Z,1994,6,cond_u_s,95.63333333333334
toolik,1994-06-11T00:00:00Z,1994,6,do_mg_l,6.166666666666667
toolik,1994-06-11T00:00:00Z,1994,6,secchi_m,NA
toolik,1994-06-11T00:00:00Z,1994,6,temp_c,4.343333333333334
toolik,1994-06-15T00:00:00Z,1994,6,chl_ug_l,0.859125
toolik,1994-06-15T00:00:00Z,1994,6,cond_u_s,66.9
toolik,1994-06-15T00:00:00Z,1994,6,do_mg_l,8.793333333333333
