site,date,year,month,depth_m,variable,value
toolik,1990-06-26T00:00:00Z,1990,6,9,temp_c,6.5
toolik,1990-06-26T00:00:00Z,1990,6,9,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,9,do_mg_l,10.4
toolik,1990-06-26T00:00:00Z,1990,6,9,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,9,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,10,temp_c,6.5
toolik,1990-06-26T00:00:00Z,1990,6,10,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,10,do_mg_l,10.3
toolik,1990-06-26T00:00:00Z,1990,6,10,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,10,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,11,temp_c,6.45
toolik,1990-06-26T00:00:00Z,1990,6,11,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,11,do_mg_l,10.2
toolik,1990-06-26T00:00:00Z,1990,6,11,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,11,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,12,temp_c,6.4
toolik,1990-06-26T00:00:00Z,1990,6,12,cond_u_s,41
toolik,1990-06-26T00:00:00Z,1990,6,12,do_mg_l,10.2
toolik,1990-06-26T00:00:00Z,1990,6,12,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,12,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,13,temp_c,6.300000000000001
toolik,1990-06-26T00:00:00Z,1990,6,13,cond_u_s,39
toolik,1990-06-26T00:00:00Z,1990,6,13,do_mg_l,10
toolik,1990-06-26T00:00:00Z,1990,6,13,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,13,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,14,temp_c,5.75
toolik,1990-06-26T00:00:00Z,1990,6,14,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,14,do_mg_l,10.2
toolik,1990-06-26T00:00:00Z,1990,6,14,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,14,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,15,temp_c,5.75
toolik,1990-06-26T00:00:00Z,1990,6,15,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,15,do_mg_l,10
toolik,1990-06-26T00:00:00Z,1990,6,15,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,15,secchi_m,4
toolik,1990-06-26T00:00:00Z,1990,6,16,temp_c,5.65
toolik,1990-06-26T00:00:00Z,1990,6,16,cond_u_s,40
toolik,1990-06-26T00:00:00Z,1990,6,16,do_mg_l,10
toolik,1990-06-26T00:00:00Z,1990,6,16,chl_ug_l,NA
toolik,1990-06-26T00:00:00Z,1990,6,16,secchi_m,4
toolik,1990-07-03T00:00:00Z,1990,7,0,temp_c,14.15
toolik,1990-07-03T00:00:00Z,1990,7,0,cond_u_s,49
toolik,1990-07-03T00:00:00Z,1990,7,0,do_mg_l,9.8
toolik,1990-07-03T00:00:00Z,1990,7,0,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,0,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,0.1,temp_c,14.105
toolik,1990-07-03T00:00:00Z,1990,7,0.1,cond_u_s,48.6
toolik,1990-07-03T00:00:00Z,1990,7,0.1,do_mg_l,9.8
toolik,1990-07-03T00:00:00Z,1990,7,0.1,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,0.1,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,0.2,temp_c,14.059999999999999
toolik,1990-07-03T00:00:00Z,1990,7,0.2,cond_u_s,48.2
toolik,1990-07-03T00:00:00Z,1990,7,0.2,do_mg_l,9.8
toolik,1990-07-03T00:00:00Z,1990,7,0.2,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,0.2,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,0.5,temp_c,13.925
toolik,1990-07-03T00:00:00Z,1990,7,0.5,cond_u_s,47
toolik,1990-07-03T00:00:00Z,1990,7,0.5,do_mg_l,9.8
toolik,1990-07-03T00:00:00Z,1990,7,0.5,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,0.5,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,1,temp_c,13.7
toolik,1990-07-03T00:00:00Z,1990,7,1,cond_u_s,45
toolik,1990-07-03T00:00:00Z,1990,7,1,do_mg_l,9.8
toolik,1990-07-03T00:00:00Z,1990,7,1,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,1,secchi_m,5.5
